company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,staff_pick,spotlight,category & sub-category,category,subcategory
Long-Greene,Future-proofed heuristic encryption,2400.0,12310.0,successful,173,GB,GBP,2020-07-27 05:00:00,2021-08-21 05:00:00,False,False,food/food trucks,food,food trucks
Landry Inc,Synergistic cohesive adapter,29600.0,77021.0,successful,1572,GB,GBP,2021-06-19 05:00:00,2021-06-24 05:00:00,False,True,food/food trucks,food,food trucks
Henson PLC,Universal contextually-based knowledgebase,56800.0,173437.0,successful,2443,US,USD,2021-07-24 05:00:00,2021-08-08 05:00:00,False,True,food/food trucks,food,food trucks
Ramirez LLC,Multi-tiered maximized orchestration,5900.0,6608.0,successful,78,US,USD,2021-04-05 05:00:00,2021-06-12 05:00:00,False,False,food/food trucks,food,food trucks
"Thomas, Welch and Santana",Assimilated exuding toolset,9800.0,7120.0,failed,77,US,USD,2021-01-13 06:00:00,2021-05-05 05:00:00,False,True,food/food trucks,food,food trucks
"Parker, Haley and Foster",Adaptive local task-force,2700.0,9967.0,successful,144,US,USD,2020-06-25 05:00:00,2021-05-27 05:00:00,False,True,food/food trucks,food,food trucks
Williams-Santos,Open-source analyzing monitoring,9400.0,6852.0,failed,156,CA,CAD,2021-01-15 06:00:00,2021-04-08 05:00:00,False,True,food/food trucks,food,food trucks
Brown-George,Cross-platform tertiary array,100.0,5.0,failed,1,GB,GBP,2021-04-20 05:00:00,2021-06-30 05:00:00,False,False,food/food trucks,food,food trucks
"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600.0,180667.0,successful,2230,US,USD,2020-08-29 05:00:00,2021-08-05 05:00:00,False,False,food/food trucks,food,food trucks
"Martin, Lee and Armstrong",Open-architected incremental ability,1600.0,11108.0,successful,154,GB,GBP,2020-11-18 06:00:00,2021-08-05 05:00:00,True,False,food/food trucks,food,food trucks
Vargas-Cox,Vision-oriented local contingency,98600.0,62174.0,canceled,723,US,USD,2021-05-06 05:00:00,2021-06-22 05:00:00,True,False,food/food trucks,food,food trucks
"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400.0,49879.0,failed,504,AU,AUD,2021-02-07 06:00:00,2021-06-11 05:00:00,False,False,food/food trucks,food,food trucks
Davis Ltd,Synchronized motivating solution,1400.0,14511.0,successful,363,US,USD,2020-10-11 05:00:00,2021-04-05 05:00:00,False,True,food/food trucks,food,food trucks
"Stafford, Hess and Raymond",Optional web-enabled extranet,2100.0,540.0,failed,6,US,USD,2021-09-23 05:00:00,2022-01-18 06:00:00,False,False,food/food trucks,food,food trucks
"Harris, Medina and Mitchell",Enhanced regional flexibility,5200.0,1583.0,failed,19,US,USD,2021-01-02 06:00:00,2021-05-11 05:00:00,False,False,food/food trucks,food,food trucks
"Miller, Glenn and Adams",Distributed actuating project,4700.0,11174.0,successful,110,US,USD,2021-03-22 05:00:00,2021-06-09 05:00:00,False,False,food/food trucks,food,food trucks
Williams and Sons,Profound composite core,2400.0,8558.0,successful,158,US,USD,2021-06-29 05:00:00,2021-10-21 05:00:00,False,False,food/food trucks,food,food trucks
"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000.0,2778.0,failed,35,US,USD,2021-02-16 06:00:00,2022-01-17 06:00:00,True,False,food/food trucks,food,food trucks
"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800.0,7797.0,successful,300,US,USD,2021-11-23 06:00:00,2022-01-14 06:00:00,False,False,food/food trucks,food,food trucks
Estrada Group,Multi-lateral uniform collaboration,163600.0,126628.0,failed,1229,US,USD,2020-11-08 06:00:00,2021-01-22 06:00:00,False,False,food/food trucks,food,food trucks
Wright-Bryant,Reverse-engineered client-server extranet,19800.0,153338.0,successful,1460,AU,AUD,2020-06-20 05:00:00,2021-05-23 05:00:00,False,True,food/food trucks,food,food trucks
Brown-Oliver,Synchronized cohesive encoding,8700.0,1577.0,failed,15,US,USD,2021-11-23 06:00:00,2021-12-06 06:00:00,False,False,food/food trucks,food,food trucks
"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500.0,11969.0,successful,114,US,USD,2020-09-16 05:00:00,2021-07-10 05:00:00,False,False,food/food trucks,food,food trucks
"Harris, Russell and Mitchell",User-centric cohesive policy,3600.0,10657.0,successful,266,US,USD,2021-01-21 06:00:00,2021-11-02 05:00:00,False,False,food/food trucks,food,food trucks
Gonzalez-White,Open-architected disintermediate budgetary management,2400.0,8117.0,successful,114,US,USD,2020-12-21 06:00:00,2021-10-27 05:00:00,False,False,food/food trucks,food,food trucks
Johnson Group,Vision-oriented interactive solution,7000.0,5177.0,failed,67,US,USD,2021-04-22 05:00:00,2022-01-08 06:00:00,False,False,food/food trucks,food,food trucks
Manning-Hamilton,Vision-oriented scalable definition,97300.0,153216.0,successful,2043,US,USD,2020-12-29 06:00:00,2021-05-30 05:00:00,False,True,food/food trucks,food,food trucks
"Hernandez, Norton and Kelley",Expanded eco-centric policy,111100.0,62819.0,canceled,1122,US,USD,2020-12-30 06:00:00,2021-08-18 05:00:00,False,False,food/food trucks,food,food trucks
Odom Inc,Managed bottom-line architecture,1400.0,14560.0,successful,158,US,USD,2021-01-25 06:00:00,2021-05-25 05:00:00,False,True,music/rock,music,rock
"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.0,2477.0,failed,24,US,USD,2021-10-21 05:00:00,2022-01-17 06:00:00,False,False,music/rock,music,rock
"Best, Carr and Williams",Diverse transitional migration,2000.0,1599.0,failed,15,US,USD,2021-01-08 06:00:00,2021-10-15 05:00:00,False,False,music/rock,music,rock
Watts Group,Universal 5thgeneration neural-net,5600.0,11924.0,successful,111,IT,EUR,2021-03-17 05:00:00,2021-07-08 05:00:00,False,True,music/rock,music,rock
"Vaughn, Hunt and Caldwell",Virtual grid-enabled task-force,3700.0,4247.0,successful,92,US,USD,2021-05-23 05:00:00,2021-09-23 05:00:00,False,False,music/rock,music,rock
Casey-Kelly,Sharable holistic interface,7200.0,13653.0,successful,303,US,USD,2021-01-25 06:00:00,2022-01-30 06:00:00,False,False,music/rock,music,rock
"Gomez, Bailey and Flores",User-friendly static contingency,16800.0,37857.0,successful,411,US,USD,2020-11-01 05:00:00,2021-03-04 06:00:00,False,False,music/rock,music,rock
Farrell and Sons,Synergized 4thgeneration conglomeration,198500.0,123040.0,failed,1482,AU,AUD,2020-08-23 05:00:00,2021-03-24 05:00:00,False,True,music/rock,music,rock
Allen-Curtis,Phased human-resource core,70600.0,42596.0,canceled,532,US,USD,2020-09-13 05:00:00,2021-09-17 05:00:00,False,False,music/rock,music,rock
"Brown, Palmer and Pace",Networked stable workforce,100.0,1.0,failed,1,US,USD,2021-01-21 06:00:00,2021-07-11 05:00:00,False,False,music/rock,music,rock
Meza-Rogers,Streamlined encompassing encryption,36400.0,26914.0,canceled,379,AU,AUD,2020-11-24 06:00:00,2021-12-26 06:00:00,False,False,music/rock,music,rock
Carlson Inc,Ergonomic fresh-thinking installation,2100.0,4640.0,successful,41,US,USD,2020-12-28 06:00:00,2021-11-24 06:00:00,False,False,music/rock,music,rock
"Keith, Alvarez and Potter",Extended bottom-line open architecture,6100.0,9134.0,successful,157,CH,CHF,2021-09-05 05:00:00,2021-12-16 06:00:00,False,False,music/rock,music,rock
"Rogers, Huerta and Medina",Pre-emptive bandwidth-monitored instruction set,5100.0,3525.0,failed,86,CA,CAD,2020-04-16 05:00:00,2021-03-02 06:00:00,False,False,music/rock,music,rock
"Long, Morgan and Mitchell",Upgradable 4thgeneration productivity,42600.0,8517.0,failed,243,US,USD,2020-11-07 06:00:00,2021-06-16 05:00:00,False,False,music/rock,music,rock
"Hull, Baker and Martinez",Digitized reciprocal infrastructure,1800.0,968.0,failed,13,US,USD,2020-03-14 05:00:00,2021-03-13 06:00:00,False,False,music/rock,music,rock
Carney-Anderson,Digitized 5thgeneration knowledgebase,1000.0,4257.0,successful,43,US,USD,2020-12-25 06:00:00,2021-08-29 05:00:00,False,True,music/rock,music,rock
Sullivan Group,Open-source fresh-thinking policy,1400.0,14324.0,successful,165,US,USD,2021-06-01 05:00:00,2021-07-24 05:00:00,False,False,music/rock,music,rock
Fox-Quinn,Enterprise-wide reciprocal success,67800.0,176398.0,successful,5880,US,USD,2020-10-14 05:00:00,2021-02-28 06:00:00,True,False,music/rock,music,rock
Gallegos-Cobb,Object-based directional function,39500.0,4323.0,failed,57,AU,AUD,2021-01-21 06:00:00,2021-12-01 06:00:00,False,True,music/rock,music,rock
"Hill, Martin and Garcia",Sharable scalable core,8400.0,10729.0,successful,250,US,USD,2020-08-22 05:00:00,2021-03-01 06:00:00,False,True,music/rock,music,rock
Robbins and Sons,Future-proofed directional synergy,100.0,3.0,failed,1,US,USD,2020-09-16 05:00:00,2021-02-27 06:00:00,False,False,music/rock,music,rock
"Rosales, Branch and Harmon",Upgradable grid-enabled superstructure,80500.0,96735.0,successful,1697,US,USD,2020-11-03 06:00:00,2021-09-27 05:00:00,False,True,music/rock,music,rock
Smith-Reid,Optimized actuating toolset,4100.0,959.0,failed,15,GB,GBP,2020-11-03 06:00:00,2021-10-17 05:00:00,False,False,music/rock,music,rock
Allen-Jones,Centralized modular initiative,6300.0,9935.0,successful,261,US,USD,2021-07-15 05:00:00,2021-10-12 05:00:00,False,False,music/rock,music,rock
Mason-Smith,Reverse-engineered cohesive migration,84300.0,26303.0,failed,454,US,USD,2021-08-04 05:00:00,2021-09-13 05:00:00,False,True,music/rock,music,rock
Lucas-Mullins,Business-focused dynamic instruction set,8100.0,1517.0,failed,29,DK,DKK,2020-05-27 05:00:00,2021-03-20 05:00:00,False,False,music/rock,music,rock
"Chase, Garcia and Johnson",Adaptive intangible database,3500.0,5037.0,successful,72,US,USD,2021-05-20 05:00:00,2021-06-21 05:00:00,False,True,music/rock,music,rock
Miller-Irwin,Secured maximized policy,2200.0,8697.0,successful,223,US,USD,2021-11-26 06:00:00,2021-12-02 06:00:00,False,False,music/rock,music,rock
"Young, Hart and Ryan",Decentralized demand-driven open system,5700.0,903.0,failed,17,US,USD,2021-07-29 05:00:00,2021-09-25 05:00:00,False,False,music/rock,music,rock
Young PLC,Innovative well-modulated functionalities,98700.0,131826.0,successful,2441,US,USD,2020-09-01 05:00:00,2021-05-03 05:00:00,False,False,music/rock,music,rock
Mcgee Group,Assimilated discrete algorithm,66200.0,123538.0,successful,1113,US,USD,2020-06-27 05:00:00,2021-05-04 05:00:00,False,False,music/rock,music,rock
Jordan-Acosta,Operative uniform hub,173800.0,198628.0,successful,2283,US,USD,2020-02-27 06:00:00,2021-02-12 06:00:00,False,False,music/rock,music,rock
Nunez Inc,Customizable intangible capability,70700.0,68602.0,failed,1072,US,USD,2020-11-06 06:00:00,2021-07-21 05:00:00,False,True,music/rock,music,rock
Young LLC,Universal maximized methodology,74100.0,94631.0,successful,2013,US,USD,2021-09-12 05:00:00,2021-10-05 05:00:00,False,False,music/rock,music,rock
Lawrence Group,Automated actuating conglomeration,3700.0,13755.0,successful,191,US,USD,2021-04-23 05:00:00,2022-01-26 06:00:00,False,False,music/rock,music,rock
Gray-Davis,Re-contextualized local initiative,5200.0,8330.0,successful,139,US,USD,2021-03-12 06:00:00,2021-10-07 05:00:00,False,False,music/rock,music,rock
Perry PLC,Mandatory uniform matrix,3400.0,12275.0,successful,131,US,USD,2020-06-23 05:00:00,2021-05-10 05:00:00,False,False,music/rock,music,rock
Jones-Martin,Virtual systematic monitoring,8100.0,14083.0,successful,454,US,USD,2020-09-21 05:00:00,2021-02-11 06:00:00,False,False,music/rock,music,rock
Stewart LLC,Secured asymmetric projection,135600.0,62804.0,failed,714,US,USD,2021-02-11 06:00:00,2021-05-09 05:00:00,False,False,music/rock,music,rock
Padilla-Porter,Innovative exuding matrix,148400.0,182302.0,successful,6286,US,USD,2020-12-31 06:00:00,2021-08-20 05:00:00,False,False,music/rock,music,rock
"Turner, Young and Collins",Self-enabling clear-thinking framework,153800.0,60342.0,failed,575,US,USD,2020-10-28 05:00:00,2021-02-27 06:00:00,False,False,music/rock,music,rock
Smith-Miller,De-engineered cohesive moderator,7500.0,6924.0,failed,62,IT,EUR,2021-04-08 05:00:00,2021-05-19 05:00:00,False,False,music/rock,music,rock
"Sanchez, Bradley and Flores",Centralized motivating capacity,138700.0,31123.0,canceled,528,CH,CHF,2021-01-30 06:00:00,2021-10-19 05:00:00,False,True,music/rock,music,rock
Marsh-Coleman,Exclusive asymmetric analyzer,177700.0,180802.0,successful,1773,US,USD,2020-09-25 05:00:00,2021-03-23 05:00:00,False,True,music/rock,music,rock
Taylor Inc,Public-key 3rdgeneration system engine,2800.0,7742.0,successful,84,US,USD,2020-08-02 05:00:00,2021-05-24 05:00:00,False,False,music/rock,music,rock
"Dougherty, Austin and Mills",De-engineered 5thgeneration contingency,170600.0,75022.0,failed,1028,US,USD,2020-12-11 06:00:00,2021-05-26 05:00:00,False,False,music/rock,music,rock
Anderson Group,Organic maximized database,6300.0,14089.0,successful,135,DK,DKK,2020-05-09 05:00:00,2021-05-01 05:00:00,False,False,music/rock,music,rock
Blair Inc,Configurable bandwidth-monitored throughput,9900.0,1269.0,failed,26,CH,CHF,2021-02-05 06:00:00,2021-11-04 05:00:00,False,False,music/rock,music,rock
Johns PLC,Distributed high-level open architecture,6800.0,14865.0,successful,244,US,USD,2020-11-01 05:00:00,2021-06-12 05:00:00,False,False,music/rock,music,rock
Martinez-Juarez,Realigned uniform knowledge user,31200.0,95364.0,successful,2725,US,USD,2021-06-07 05:00:00,2021-10-31 05:00:00,False,True,music/rock,music,rock
Clements Group,Assimilated actuating policy,9000.0,4896.0,canceled,94,US,USD,2021-02-10 06:00:00,2021-04-08 05:00:00,False,True,music/rock,music,rock
Rowe-Wong,Robust hybrid budgetary management,700.0,6654.0,successful,130,US,USD,2021-07-16 05:00:00,2021-12-17 06:00:00,False,False,music/rock,music,rock
"Martinez, Garza and Young",Up-sized web-enabled info-mediaries,108500.0,175868.0,successful,2409,IT,EUR,2021-01-06 06:00:00,2021-10-27 05:00:00,False,False,music/rock,music,rock
Valencia PLC,Extended asynchronous initiative,3400.0,6405.0,successful,160,GB,GBP,2021-05-13 05:00:00,2021-08-21 05:00:00,False,False,music/rock,music,rock
"Ferguson, Murphy and Bright",Multi-lateral heuristic throughput,192100.0,178483.0,failed,4697,US,USD,2021-04-25 05:00:00,2021-10-10 05:00:00,False,True,music/rock,music,rock
"Howell, Myers and Olson",Self-enabling mission-critical success,52600.0,31594.0,canceled,390,US,USD,2021-04-24 05:00:00,2021-08-05 05:00:00,False,False,music/rock,music,rock
Murray Ltd,Decentralized 4thgeneration challenge,6000.0,5438.0,failed,77,GB,GBP,2020-11-19 06:00:00,2021-10-20 05:00:00,False,False,music/rock,music,rock
"Cardenas, Thompson and Carey",Configurable full-range emulation,9200.0,12322.0,successful,196,IT,EUR,2021-04-10 05:00:00,2021-04-20 05:00:00,True,False,music/rock,music,rock
Evans-Jones,Switchable methodical superstructure,38500.0,182036.0,successful,1785,US,USD,2021-03-15 05:00:00,2021-09-22 05:00:00,False,False,music/rock,music,rock
Dominguez-Owens,Open-architected systematic intranet,123600.0,5429.0,canceled,60,US,USD,2021-07-16 05:00:00,2021-08-17 05:00:00,False,False,music/rock,music,rock
"Glass, Baker and Jones",Business-focused 24hour access,117000.0,107622.0,failed,1121,US,USD,2021-05-24 05:00:00,2021-12-31 06:00:00,False,True,music/rock,music,rock
Logan-Miranda,Proactive systemic firmware,29600.0,167005.0,successful,1518,CA,CAD,2021-11-02 05:00:00,2021-11-10 06:00:00,False,False,music/rock,music,rock
Mitchell-Lee,Customizable leadingedge model,2200.0,14420.0,successful,166,US,USD,2021-07-03 05:00:00,2021-07-22 05:00:00,False,False,music/rock,music,rock
Shaffer-Mason,Managed bandwidth-monitored system engine,1100.0,8010.0,successful,148,US,USD,2021-09-27 05:00:00,2021-11-24 06:00:00,False,False,music/rock,music,rock
Murphy LLC,Customer-focused non-volatile framework,9400.0,968.0,failed,10,US,USD,2021-02-21 06:00:00,2021-06-16 05:00:00,False,False,music/rock,music,rock
"Vega, Chan and Carney",Down-sized systematic utilization,7400.0,10451.0,successful,138,US,USD,2021-04-18 05:00:00,2021-11-18 06:00:00,False,False,music/rock,music,rock
Vance-Glover,Progressive coherent secured line,61200.0,60994.0,failed,859,CA,CAD,2021-02-27 06:00:00,2021-11-06 05:00:00,False,False,music/rock,music,rock
Welch Inc,Optional optimal website,6600.0,8276.0,successful,110,US,USD,2021-10-06 05:00:00,2021-12-18 06:00:00,False,False,music/rock,music,rock
Wallace LLC,Centralized regional function,100.0,1.0,failed,1,CH,CHF,2021-06-17 05:00:00,2021-07-16 05:00:00,False,False,music/rock,music,rock
English-Mccullough,Business-focused discrete software,2600.0,6987.0,successful,218,US,USD,2021-05-31 05:00:00,2021-09-19 05:00:00,False,False,music/rock,music,rock
Vincent PLC,Visionary 24hour analyzer,3200.0,2950.0,failed,36,DK,DKK,2021-08-13 05:00:00,2021-12-26 06:00:00,False,True,music/rock,music,rock
Watson-Douglas,Centralized bandwidth-monitored leverage,9000.0,11721.0,successful,183,CA,CAD,2021-03-29 05:00:00,2021-11-27 06:00:00,False,False,music/rock,music,rock
"Valdez, Williams and Meyer",Cross-group heuristic forecast,1500.0,12009.0,successful,279,GB,GBP,2021-02-13 06:00:00,2021-12-04 06:00:00,False,True,music/rock,music,rock
Stewart and Sons,Distributed optimizing protocol,54000.0,188982.0,successful,2100,US,USD,2020-02-17 06:00:00,2021-01-07 06:00:00,False,False,music/rock,music,rock
Dyer Inc,Secured well-modulated system engine,4100.0,14640.0,successful,252,US,USD,2021-01-01 06:00:00,2021-04-05 05:00:00,True,True,music/rock,music,rock
"Hood, Perez and Meadows",Cross-group upward-trending hierarchy,100.0,1.0,failed,1,US,USD,2020-04-04 05:00:00,2021-03-11 06:00:00,True,False,music/rock,music,rock
Mueller-Harmon,Implemented tangible approach,7900.0,5465.0,failed,67,US,USD,2020-12-25 06:00:00,2021-12-16 06:00:00,False,False,music/rock,music,rock
Hogan Group,Versatile bottom-line definition,5600.0,8746.0,successful,159,US,USD,2021-05-01 05:00:00,2022-01-18 06:00:00,False,True,music/rock,music,rock
"Mora, Miller and Harper",Stand-alone zero tolerance algorithm,2300.0,4883.0,successful,144,US,USD,2021-01-31 06:00:00,2021-06-07 05:00:00,False,False,music/rock,music,rock
Peterson Ltd,Re-engineered 24hour matrix,14500.0,159056.0,successful,1559,US,USD,2020-04-26 05:00:00,2021-02-28 06:00:00,False,True,music/rock,music,rock
Nunez-King,Phased clear-thinking policy,2200.0,8501.0,successful,207,GB,GBP,2020-04-09 05:00:00,2021-03-05 06:00:00,False,False,music/rock,music,rock
Logan-Curtis,Enhanced optimal ability,170600.0,114523.0,failed,4405,US,USD,2020-11-21 06:00:00,2021-01-19 06:00:00,False,True,music/rock,music,rock
"Chan, Washington and Callahan",Optional zero administration neural-net,7800.0,3144.0,failed,92,US,USD,2021-04-12 05:00:00,2021-07-02 05:00:00,False,False,music/rock,music,rock
Ramirez LLC,Reduced reciprocal focus group,9800.0,11091.0,successful,241,US,USD,2020-12-09 06:00:00,2021-05-26 05:00:00,False,True,music/rock,music,rock
"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.0,3208.0,failed,44,US,USD,2021-08-13 05:00:00,2021-08-31 05:00:00,False,False,music/electric music,music,electric music
Fitzgerald PLC,Realigned user-facing concept,106400.0,39996.0,failed,1000,US,USD,2021-06-25 05:00:00,2021-08-08 05:00:00,False,False,music/electric music,music,electric music
Douglas LLC,Reduced heuristic moratorium,900.0,9193.0,successful,164,US,USD,2021-10-06 05:00:00,2022-01-27 06:00:00,False,True,music/electric music,music,electric music
"Frye, Hunt and Powell",Polarized incremental emulation,10000.0,2461.0,failed,37,IT,EUR,2021-05-10 05:00:00,2021-08-03 05:00:00,False,False,music/electric music,music,electric music
Parker LLC,Customizable intermediate extranet,137200.0,88037.0,failed,1467,US,USD,2021-12-02 06:00:00,2022-01-12 06:00:00,False,False,music/electric music,music,electric music
Smith and Sons,Upgradable high-level solution,15800.0,57157.0,successful,524,US,USD,2021-02-02 06:00:00,2021-12-15 06:00:00,False,False,music/electric music,music,electric music
Palmer Inc,Universal multi-state capability,63200.0,6041.0,failed,168,US,USD,2021-04-05 05:00:00,2021-07-05 05:00:00,False,False,music/electric music,music,electric music
Ferguson PLC,Public-key intangible superstructure,6300.0,13213.0,successful,176,US,USD,2020-10-03 05:00:00,2021-02-19 06:00:00,False,False,music/electric music,music,electric music
Richardson Inc,Assimilated fault-tolerant capacity,5000.0,8907.0,successful,106,US,USD,2021-02-21 06:00:00,2021-08-15 05:00:00,False,False,music/electric music,music,electric music
Webb-Smith,Advanced content-based installation,9300.0,4124.0,failed,37,US,USD,2021-09-04 05:00:00,2021-11-29 06:00:00,False,True,music/electric music,music,electric music
"Wang, Nguyen and Horton",Innovative holistic hub,6200.0,8645.0,successful,192,US,USD,2021-09-10 05:00:00,2021-11-05 05:00:00,False,False,music/electric music,music,electric music
Fox-Williams,Profound system-worthy functionalities,128900.0,196960.0,successful,7295,US,USD,2021-12-15 06:00:00,2022-01-13 06:00:00,False,False,music/electric music,music,electric music
West-Stevens,Reactive solution-oriented groupware,1200.0,13513.0,successful,122,US,USD,2021-03-30 05:00:00,2021-07-15 05:00:00,False,False,music/electric music,music,electric music
Ramos and Sons,Extended responsive Internet solution,100.0,1.0,failed,1,GB,GBP,2021-06-11 05:00:00,2021-06-28 05:00:00,False,False,music/electric music,music,electric music
Rodriguez PLC,Grass-roots upward-trending installation,167500.0,114615.0,failed,1274,US,USD,2020-01-19 06:00:00,2021-03-14 06:00:00,False,False,music/electric music,music,electric music
Bright and Sons,Object-based needs-based info-mediaries,6000.0,12468.0,successful,160,US,USD,2021-10-23 05:00:00,2021-11-20 06:00:00,False,False,music/electric music,music,electric music
"Craig, Ellis and Miller",Persevering 5thgeneration throughput,84500.0,193101.0,successful,2414,US,USD,2021-01-11 06:00:00,2021-06-17 05:00:00,False,False,music/electric music,music,electric music
Santos Group,Secured dynamic capacity,5600.0,9508.0,successful,122,US,USD,2020-12-13 06:00:00,2021-04-30 05:00:00,False,True,music/electric music,music,electric music
"Walker, Taylor and Coleman",Multi-tiered directional open architecture,4200.0,10295.0,successful,98,US,USD,2020-11-11 06:00:00,2021-11-06 05:00:00,False,False,music/indie rock,music,indie rock
"Rodriguez, Rose and Stewart",Cloned directional synergy,28200.0,18829.0,failed,200,US,USD,2021-11-14 06:00:00,2022-01-02 06:00:00,False,False,music/indie rock,music,indie rock
"Hill, Lawson and Wilkinson",Multi-tiered eco-centric architecture,4900.0,6430.0,successful,71,AU,AUD,2021-05-29 05:00:00,2021-08-20 05:00:00,False,False,music/indie rock,music,indie rock
"Smith, Wells and Nguyen",Self-enabling grid-enabled initiative,119200.0,170623.0,successful,1917,US,USD,2021-07-09 05:00:00,2021-10-15 05:00:00,False,False,music/indie rock,music,indie rock
Avila-Jones,Implemented discrete secured line,5400.0,7322.0,successful,70,US,USD,2020-12-03 06:00:00,2021-11-25 06:00:00,False,False,music/indie rock,music,indie rock
"Payne, Oliver and Burch",Managed fresh-thinking flexibility,6200.0,13632.0,successful,195,US,USD,2020-09-08 05:00:00,2021-04-16 05:00:00,False,False,music/indie rock,music,indie rock
"Bowen, Mcdonald and Hall",User-centric fault-tolerant task-force,41500.0,175573.0,successful,3376,US,USD,2020-11-13 06:00:00,2021-07-23 05:00:00,False,False,music/indie rock,music,indie rock
Rodriguez-Brown,Devolved foreground benchmark,171300.0,100650.0,failed,1059,US,USD,2021-01-29 06:00:00,2021-06-20 05:00:00,False,True,music/indie rock,music,indie rock
Hernandez Group,Ergonomic uniform open system,128100.0,40107.0,failed,955,DK,DKK,2020-05-16 05:00:00,2021-03-18 05:00:00,False,True,music/indie rock,music,indie rock
"Summers, Gallegos and Stein",Mandatory mobile product,188100.0,5528.0,failed,67,US,USD,2020-09-24 05:00:00,2021-07-27 05:00:00,False,False,music/indie rock,music,indie rock
"Calhoun, Rogers and Long",Progressive discrete hub,6600.0,3012.0,failed,65,US,USD,2020-04-25 05:00:00,2021-03-22 05:00:00,True,False,music/indie rock,music,indie rock
Morgan-Warren,Face-to-face encompassing info-mediaries,87900.0,171549.0,successful,4289,US,USD,2020-12-20 06:00:00,2021-07-30 05:00:00,False,True,music/indie rock,music,indie rock
"Lloyd, Kennedy and Davis",Compatible multimedia hub,1700.0,5328.0,successful,107,US,USD,2021-02-27 06:00:00,2021-10-02 05:00:00,False,True,music/indie rock,music,indie rock
